Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:STH,"StepChange Holdings Limited (ASX:STH)",https://www.listcorp.com/asx/sth/stepchange-holdings-limited,"	24437400",0.1525,0.00,0,"Information Technology"
ASX:LDR,"Lode Resources Ltd (ASX:LDR)",https://www.listcorp.com/asx/ldr/lode-resources,"	24267600",0.15,0.00,0,Materials
ASX:COB,"Cobalt Blue Holdings Limited (ASX:COB)",https://www.listcorp.com/asx/cob/cobalt-blue-holdings-limited,"	24021300",0.054,0.00,0,Materials
ASX:D3E,"D3 Energy Limited (ASX:D3E)",https://www.listcorp.com/asx/d3e/d3-energy-limited,"	23842500",0.3,0.00,0,Energy
ASX:LCE,"London City Equities Limited (ASX:LCE)",https://www.listcorp.com/asx/lce/london-city-equities-limited,"	23791300",0.76,0.00,0,Financials
ASX:FBR,"FBR Limited (ASX:FBR)",https://www.listcorp.com/asx/fbr/fbr-limited,"	23665000",0.005,0.00,25,Industrials
ASX:EQX,"Equatorial Resources Limited (ASX:EQX)",https://www.listcorp.com/asx/eqx/equatorial-resources-limited,"	23660200",0.18,0.00,0,Materials
ASX:RDG,"Resource Development Group Limited (ASX:RDG)",https://www.listcorp.com/asx/rdg/resource-development-group-limited,"	23606900",0.008,0.00,0,Industrials
ASX:BNL,"Blue Star Helium Limited (ASX:BNL)",https://www.listcorp.com/asx/bnl/blue-star-helium-limited,"	23575200",0.007,0.00,0,Energy
ASX:AVA,"Ava Risk Group Limited (ASX:AVA)",https://www.listcorp.com/asx/ava/ava-risk-group-limited,"	23528200",0.081,0.00,0,"Information Technology"
ASX:FRB,"Firebird Metals Limited (ASX:FRB)",https://www.listcorp.com/asx/frb/firebird-metals-limited,"	23489600",0.17,0.00,3.03,Materials
ASX:VRC,"Volt Resources Limited (ASX:VRC)",https://www.listcorp.com/asx/vrc/volt-resources-limited,"	23424200",0.005,0.00,0,Materials
ASX:NC6,"Nanollose Limited (ASX:NC6)",https://www.listcorp.com/asx/nc6/nanollose-limited,"	23206300",0.076,0.00,0,"Health Care"
ASX:MFOA,"Milford Australian Absolute Growth Fund Quoted Class (Hedge Fund) (ASX:MFOA)",https://www.listcorp.com/asx/mfoa/milford-australian-absolute-growth-fund-quoted-class-hedge-fund,"	23152300",11.33,-0.01,-0.09,Unclassified
ASX:ICL,"Iceni Gold Limited (ASX:ICL)",https://www.listcorp.com/asx/icl/iceni-gold-limited,"	23001200",0.068,0.00,1.49,Materials
